id	rate
1001	12
1015	1
1073	7
1083	3
1089	5
1095	1
1097	4
1101	2
1103	3
1117	1
1125	4
4013	80
4019	21
4025	9
5045	2
5055	1
5057	1
5069	7
5085	1
5115	1
5119	14
5131	1
5143	2
6001	21
6013	7
6019	54
6029	4
6037	193
6041	8
6047	1
6053	1
6055	1
6059	38
6061	10
6065	26
6067	4
6071	13
6073	43
6075	43
6077	2
6079	3
6081	4
6083	9
6085	16
6087	1
6095	2
6097	5
6099	2
6107	2
6111	7
6113	2
8001	1
8013	7
8031	10
8035	2
8037	1
8041	40
8059	7
8069	2
8093	9
8123	1
9001	13
9003	9
9005	1
9009	12
9011	2
10003	4
11001	63
12001	7
12005	6
12009	3
12011	30
12017	1
12019	2
12021	2
12031	2
12033	2
12035	2
12051	1
12053	3
12057	16
12069	2
12071	21
12073	8
12081	1
12083	6
12085	1
12086	36
12095	31
12099	33
12101	3
12103	20
12105	1
12109	4
12111	3
12115	3
12117	4
12127	17
13009	2
13021	1
13031	1
13039	1
13051	3
13059	1
13063	1
13067	25
13069	1
13083	1
13089	4
13113	1
13117	1
13121	23
13135	2
13153	1
13185	1
13245	2
13277	1
13319	93
16001	4
16019	1
16027	4
16059	8
17007	1
17019	1
17021	33
17029	2
17031	90
17037	2
17043	2
17055	2
17077	2
17089	2
17097	9
17099	1
17109	1
17133	1
17163	4
17167	2
17177	1
17179	1
17197	5
17201	1
18003	19
18005	1
18039	1
18053	1
18057	1
18063	18
18071	2
18075	1
18081	2
18089	3
18093	2
18097	7
18141	5
18157	1
18163	11
18167	1
18173	1
19013	3
19061	1
19081	1
19113	3
19139	1
19153	5
19163	1
19169	11
20015	1
20035	1
20037	1
20061	1
20091	8
20123	1
20159	5
20161	2
20173	9
20177	2
21009	4
21015	2
21019	3
21029	26
21037	2
21047	1
21061	1
21093	1
21111	7
21117	2
21145	1
21151	1
21185	1
21193	2
21199	1
21211	1
21227	2
22005	1
22015	1
22017	1
22019	1
22033	9
22051	1
22053	1
22055	1
22057	4
22063	1
22071	18
22079	1
22087	2
22103	2
22125	10
23001	3
23005	7
23021	10
23031	4
24003	9
24005	9
24015	1
24017	1
24021	2
24027	1
24031	8
24033	6
24510	26
25001	2
25003	1
25005	6
25009	5
25011	1
25013	5
25015	1
25017	8
25021	4
25025	31
25027	16
26025	1
26045	2
26049	9
26057	1
26065	11
26069	2
26077	3
26081	9
26087	1
26093	1
26099	8
26103	1
26105	1
26111	1
26125	22
26139	3
26145	2
26161	8
26163	23
27001	5
27003	1
27027	1
27035	1
27037	5
27053	47
27079	1
27083	1
27113	1
27123	1
27139	2
27145	1
27163	2
28011	1
28033	2
28047	1
28067	3
28073	2
28097	1
28121	14
29021	1
29023	1
29037	1
29051	2
29095	7
29097	1
29101	2
29131	22
29183	5
29189	19
29213	1
29510	9
30013	3
30031	1
30063	2
30093	1
30107	2
31055	5
31109	7
32003	87
32023	11
32031	20
33009	5
33011	10
33015	6
33017	1
34001	3
34003	8
34005	17
34007	4
34013	11
34015	2
34017	8
34023	4
34025	13
34027	7
34029	3
34031	6
34035	1
34039	5
35001	10
35015	1
35035	1
35043	2
35053	2
36001	5
36005	32
36007	3
36015	2
36029	14
36047	41
36051	4
36053	68
36055	4
36059	11
36061	118
36063	2
36065	3
36067	2
36071	2
36081	45
36083	1
36085	96
36087	1
36091	3
36093	1
36103	19
36109	2
36113	1
36119	7
37021	3
37047	1
37051	16
37063	5
37067	1
37071	1
37081	2
37093	1
37097	1
37119	26
37125	1
37129	8
37135	2
37145	1
37153	53
37155	1
37157	1
37159	1
37161	1
37167	1
37183	18
38015	1
38035	1
38071	1
38101	1
39013	1
39017	8
39029	1
39035	20
39041	2
39049	22
39057	1
39061	20
39083	44
39089	1
39093	3
39095	4
39099	3
39109	2
39113	5
39117	1
39119	2
39131	1
39133	14
39141	1
39149	1
39151	8
39153	7
39155	2
39165	2
40027	9
40037	1
40109	13
40111	1
40143	3
40149	10
41003	1
41005	4
41013	6
41017	1
41019	1
41029	1
41035	4
41039	20
41051	31
41065	1
41067	13
41071	2
42003	24
42007	2
42011	1
42017	7
42019	1
42027	1
42029	1
42035	59
42041	3
42045	2
42049	3
42071	1
42077	2
42091	1
42095	2
42101	43
42129	2
42133	2
44001	1
44003	14
44007	7
44009	3
45007	2
45013	2
45017	45
45019	2
45041	4
45045	4
45051	5
45063	7
45075	1
45079	11
45083	1
45091	1
46099	1
47005	1
47009	1
47015	21
47037	11
47047	1
47059	1
47065	3
47079	1
47093	7
47141	1
47145	1
47149	5
47157	6
47165	1
47187	4
48029	17
48039	1
48041	3
48061	1
48085	6
48095	42
48113	39
48121	14
48123	1
48135	3
48139	1
48141	7
48157	9
48201	38
48203	1
48209	1
48221	1
48245	2
48251	1
48303	1
48325	1
48329	1
48339	8
48355	5
48423	2
48427	1
48439	23
48453	26
48469	1
48473	1
48487	1
48491	2
49005	2
49011	1
49035	15
49039	1
49053	1
49057	1
50007	6
50017	8
51005	3
51013	7
51031	1
51041	4
51059	45
51085	1
51087	4
51107	6
51121	3
51143	3
51153	6
51161	1
51163	58
51165	2
51700	4
51710	6
51800	1
51810	4
53005	1
53011	2
53033	10
53035	2
53037	22
53045	1
53057	1
53061	5
53063	2
53067	3
53073	1
53077	2
54011	1
54033	1
54035	1
54039	2
54061	1
54089	1
54097	6
55009	1
55073	15
55075	2
55079	6
55093	1
55097	1
55117	1
55127	1
55133	1
55141	1
56013	1
56021	1
56033	1
