fips	freq
1	1001	128
2	1003	33
3	1005	1
4	1015	4
5	1017	4
6	1019	1
7	1025	1
8	1033	10
9	1043	1
10	1047	2
11	1053	1
12	1055	4
13	1069	7
14	1073	42
15	1077	2
16	1081	14
17	1083	11
18	1087	1
19	1089	24
20	1095	7
21	1097	37
22	1101	9
23	1103	9
24	1109	1
25	1113	2
26	1117	26
27	1121	1
28	1125	32
29	1127	3
30	4003	1
31	4005	9
32	4007	2
33	4009	2
34	4013	530
35	4015	17
36	4019	95
37	4021	7
38	4025	165
39	4027	6
40	5005	2
41	5007	11
42	5019	3
43	5021	2
44	5023	1
45	5031	10
46	5035	2
47	5037	1
48	5043	3
49	5045	10
50	5051	2
51	5055	4
52	5057	1
53	5063	1
54	5069	25
55	5085	3
56	5115	17
57	5119	127
58	5125	1
59	5131	3
60	5143	3
61	6001	93
62	6007	12
63	6011	2
64	6013	40
65	6017	5
66	6019	327
67	6021	2
68	6023	3
69	6029	34
70	6031	3
71	6037	1206
72	6039	2
73	6041	20
74	6047	3
75	6053	15
76	6055	5
77	6059	202
78	6061	38
79	6065	219
80	6067	155
81	6069	3
82	6071	84
83	6073	312
84	6075	211
85	6077	31
86	6079	12
87	6081	53
88	6083	25
89	6085	136
90	6087	19
91	6089	6
92	6093	1
93	6095	25
94	6097	37
95	6099	60
96	6101	5
97	6103	1
98	6107	25
99	6109	2
100	6111	70
101	6113	14
102	6115	1
103	8001	9
104	8005	28
105	8013	41
106	8014	2
107	8015	1
108	8019	1
109	8031	83
110	8035	17
111	8037	4
112	8041	146
113	8049	1
114	8059	34
115	8067	2
116	8069	15
117	8077	2
118	8093	102
119	8097	3
120	8101	3
121	8117	2
122	8123	1
123	9001	117
124	9003	42
125	9005	5
126	9007	8
127	9009	111
128	9011	8
129	9013	5
130	9015	1
131	10001	7
132	10003	17
133	10005	2
134	11001	376
135	12001	37
136	12005	34
137	12009	38
138	12011	270
139	12015	4
140	12017	4
141	12019	12
142	12021	11
143	12029	1
144	12031	30
145	12033	21
146	12035	9
147	12045	1
148	12049	1
149	12051	6
150	12053	31
151	12057	161
152	12059	1
153	12061	12
154	12069	28
155	12071	131
156	12073	41
157	12081	24
158	12083	35
159	12085	15
160	12086	313
161	12089	1
162	12095	201
163	12097	22
164	12099	217
165	12101	66
166	12103	140
167	12105	18
168	12109	9
169	12111	21
170	12115	25
171	12117	44
172	12119	4
173	12127	89
174	12129	1
175	13009	4
176	13015	1
177	13021	24
178	13029	1
179	13031	16
180	13039	1
181	13045	4
182	13047	2
183	13051	15
184	13057	1
185	13059	28
186	13063	12
187	13065	1
188	13067	130
189	13069	2
190	13073	3
191	13077	3
192	13083	1
193	13089	21
194	13093	1
195	13105	1
196	13113	1
197	13115	1
198	13117	2
199	13121	181
200	13123	1
201	13127	1
202	13135	17
203	13139	2
204	13143	18
